iter	Passed	Remaining
927	111291	8634
928	111425	8515
929	111540	8395
930	111664	8275
931	111786	8156
932	111892	8035
933	111999	7914
934	112109	7793
935	112224	7673
936	112344	7553
937	112461	7433
938	112576	7313
939	112697	7193
940	112814	7073
941	112930	6953
942	113048	6833
943	113157	6712
944	113262	6592
945	113373	6471
946	113491	6351
947	113601	6231
948	113723	6111
949	113834	5991
950	113943	5870
951	114055	5750
952	114165	5630
953	114286	5510
954	114401	5390
955	114513	5270
956	114627	5150
957	114743	5030
958	114857	4910
959	114974	4790
960	115091	4670
961	115207	4550
962	115334	4431
963	115452	4311
964	115568	4191
965	115686	4071
966	115792	3951
967	115902	3831
968	116023	3711
969	116128	3591
970	116240	3471
971	116360	3351
972	116474	3232
973	116585	3112
974	116696	2992
975	116817	2872
976	116929	2752
977	117040	2632
978	117153	2512
979	117267	2393
980	117383	2273
981	117498	2153
982	117618	2034
983	117727	1914
984	117839	1794
985	117959	1674
986	118070	1555
987	118180	1435
988	118299	1315
989	118410	1196
990	118520	1076
991	118636	956
992	118752	837
993	118865	717
994	118978	597
995	119089	478
996	119202	358
997	119322	239
998	119439	119
999	119552	0
